Book,Author(s),Original language,First published,Approximate sales,Genre
A Tale of Two Cities,Charles Dickens,English,1859,>200 million[20],Historical fiction
The Little Prince (Le Petit Prince),Antoine de Saint-Exupéry,French,1943,200 million[21][22][23],"Fantasy, children's fiction"
The Alchemist (O Alquimista),Paulo Coelho,Portuguese,1988,150 million[24][25],Fantasy
Harry Potter and the Philosopher's Stone,J. K. Rowling,English,1997,120 million[26][27],"Fantasy, children's fiction"
And Then There Were None,Agatha Christie,English,1939,100 million[28],Mystery
Dream of the Red Chamber (紅樓夢),Cao Xueqin,Chinese,1791,100 million[29][30],Family saga
The Hobbit,J. R. R. Tolkien,English,1937,100 million[31][32][33],"Fantasy, children's fiction"
Alice's Adventures in Wonderland,Lewis Carroll,English,1865,100 million[34],"Fantasy, absurdist fiction"
"The Lion, the Witch and the Wardrobe",C.S. Lewis,English,1950,85 million[35],"Fantasy, children's fiction"
She: A History of Adventure,H. Rider Haggard,English,1887,83 million[36],Adventure
The Da Vinci Code,Dan Brown,English,2003,80 million[37],Mystery thriller
Harry Potter and the Chamber of Secrets,J. K. Rowling,English,1998,77 million[38],"Fantasy, children's fiction"
The Catcher in the Rye,J. D. Salinger,English,1951,65 million[39],Coming-of-age
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,English,1999,65 million[40],"Fantasy, children's fiction"
Harry Potter and the Goblet of Fire,J. K. Rowling,English,2000,65 million[40],"Fantasy, children's fiction"
Harry Potter and the Order of Phoenix,J. K. Rowling,English,2003,65 million[40],"Fantasy, children's fiction"
Harry Potter and the Half-Blood Prince,J. K. Rowling,English,2005,65 million[40],"Fantasy, children's fiction"
Harry Potter and the Deathly Hallows,J. K. Rowling,English,2007,65 million[40],"Fantasy, children's fiction"
The Bridges of Madison County,Robert James Waller,English,1992,60 million[41],Romance
One Hundred Years of Solitude (Cien años de soledad),Gabriel García Márquez,Spanish,1967,50 million[42][43][44],Magic realism
Lolita,Vladimir Nabokov,English,1955,50 million[45],Novel
Heidi,Johanna Spyri,German,1880,50 million[46],Children's fiction
The Common Sense Book of Baby and Child Care,Benjamin Spock,English,1946,50 million[47],Manual
Anne of Green Gables,Lucy Maud Montgomery,English,1908,50 million[48],Children's novel
Black Beauty,Anna Sewell,English,1877,50 million[49],Children's literature
The Name of the Rose (Il Nome della Rosa),Umberto Eco,Italian,1980,50 million[50],"Historical novel, mystery"
The Eagle Has Landed,Jack Higgins,English,1975,50 million[51],"War, thriller"
Watership Down,Richard Adams,English,1972,50 million[52],Fantasy
The Hite Report,Shere Hite,English,1976,50 million[53],Sexology
Charlotte's Web,E. B. White; illustrated by Garth Williams,English,1952,50 million[54],Children's fiction
The Ginger Man,J. P. Donleavy,English,1955,50 million[55],Novel
The Purpose Driven Life,Rick Warren,English,2002,50 million[56],Philosophical Manual
The Tale of Peter Rabbit,Beatrix Potter,English,1902,45 million[57],Children's literature
Jonathan Livingston Seagull,Richard Bach,English,1970,44 million[58],"Novella, self-help"
The Very Hungry Caterpillar,Eric Carle,English,1969,43 million[59],"Children's literature, picture book"
A Message to Garcia,Elbert Hubbard,English,1899,40 million[47],Essay/literature
To Kill a Mockingbird,Harper Lee,English,1960,40 million[60],"Southern Gothic, Bildungsroman"
Flowers in the Attic,V. C. Andrews,English,1979,40 million[61],"Gothic horror, family saga"
Cosmos,Carl Sagan,English,1980,40 million[62],"Popular science, anthropology, astrophysics, cosmology, philosophy, history"
Sophie's World (Sofies verden),Jostein Gaarder,Norwegian,1991,40 million[63],"Philosophical novel, Young adult"
Angels & Demons,Dan Brown,English,2000,39 million[64],mystery-thriller
Alcoholics Anonymous,William Griffith Wilson,English,1939,over 37 million[65],Self-help
Kane and Abel,Jeffrey Archer,English,1979,37 million[66],Novel
How the Steel Was Tempered (Как закалялась сталь),Nikolai Ostrovsky,Russian,1932,36.4 million copies in USSR[67],Socialist realist novel
War and Peace (Война и мир),Leo Tolstoy,Russian,1869,36 million copies in Russia[67],Historical novel
The Adventures of Pinocchio (Le avventure di Pinocchio),Carlo Collodi,Italian,1881,35 million[68][69][better source needed],"Fantasy, children's fiction"
The Diary of Anne Frank (Het Achterhuis),Anne Frank,Dutch,1947,35 million[70],"Historical non-fiction, autobiography, memoir, bildungsroman / coming of age, Jewish literature"
Your Erroneous Zones,Wayne Dyer,English,1976,35 million[71][72],Self-help
The Thorn Birds,Colleen McCullough,English,1977,33 million[73],Romantic family saga
The Kite Runner,Khaled Hosseini,English,2003,31.5 million[74],"Bildungsroman, historical fiction"
Valley of the Dolls,Jacqueline Susann,English,1966,31 million[75],Novel
How to Win Friends and Influence People,Dale Carnegie,English,1936,Over 30 million[76][77],Self-help
The Great Gatsby,F. Scott Fitzgerald,English,1925,"30 million (""around"")[78]","Novel, tragedy"
Gone with the Wind,Margaret Mitchell,English,1936,30 million (est.)[79],Historical fiction
Rebecca,Daphne du Maurier,English,1938,30 million (est.)[80],Gothic novel
The Revolt of Mamie Stover,William Bradford Huie,English,1951,30 million[81],Fiction
The Girl with the Dragon Tattoo (Män som hatar kvinnor),Stieg Larsson,Swedish,2005,30 million[82],Fiction
The Lost Symbol,Dan Brown,English,2009,30 million[83],Fiction
The Hunger Games,Suzanne Collins,English,2008,29 million in US[84],Young adult fiction
James and the Giant Peach,Roald Dahl,English,1961,28 million[85],Children's novel
The Young Guard (Молодая гвардия),Alexander Alexandrovich Fadeyev,Russian,1945,26 million copies in USSR[67],Young adult historical novel
Who Moved My Cheese?,Spencer Johnson,English,1998,28[86] – 30[87] million,"Self-help, motivational, business fable, psychology, leadership, parable"
A Brief History of Time,Stephen Hawking,English,1988,25 million[88],Popular science
Paul et Virginie,Jacques-Henri Bernardin de Saint-Pierre,French,1788,25 million[89],Novel
Lust for Life,Irving Stone,English,1934,25 million[90],Biographical novel
The Wind in the Willows,Kenneth Grahame,English,1908,25 million[91],Children's literature
The 7 Habits of Highly Effective People,Stephen R. Covey,English,1989,25 million[92],Self-help
Totto-Chan: The Little Girl at the Window (窓ぎわのトットちゃん),Tetsuko Kuroyanagi,Japanese,1981,25 million [93],Autobiographical novel
Virgin Soil Upturned (Поднятая целина),Mikhail Sholokhov,Russian,1935,24 million copies in USSR[67],Novel
The Celestine Prophecy,James Redfield,English,1993,23 million[94],New-age spiritual novel
The Fault in Our Stars,John Green,English,2012,23 million[95],Young adult romantic novel
The Girl on the Train,Paula Hawkins,English,2015,23 million[96],Thriller
The Shack,William P. Young,English,2007,22.5 million[97],Novel
Uncle Styopa (Дядя Стёпа),Sergey Mikhalkov,Russian,1936,21 million copies in USSR[67],"Children's Literature, picture book"
The Godfather,Mario Puzo,English,1969,21 million[98],Crime novel
Love Story,Erich Segal,English,1970,21 million[99],Romance novel
Catching Fire,Suzanne Collins,English,2009,21 million in US[84],"Young adult novel, adventure, dystopian, science fiction"
Mockingjay,Suzanne Collins,English,2010,20 million in US[84],"Young Adult novel, adventure, war, science fiction, action thriller"
Kitchen (キッチン),Banana Yoshimoto,Japanese,1988,20 million[100],Japanese novel
Andromeda Nebula (Туманность Андромеды),Ivan Yefremov,Russian,1957,20 million[101],Science fiction novel
Gone Girl,Gillian Flynn,English,2012,20 million[102],Crime thriller novel
The Bermuda Triangle,Charles Berlitz,English,1974,20 million[103],
Things Fall Apart,Chinua Achebe,English,1958,20 million[104],Novel
Wolf Totem (狼图腾),Jiang Rong,Chinese,2004,20 million[105],Semi-autobiographical novel
The Happy Hooker: My Own Story,Xaviera Hollander,English,1971,20 million[106],Memoir
Jaws,Peter Benchley,English,1974,20 million[107],Thriller
Love You Forever,Robert Munsch,English,1986,20 million[108],"Children's literature, picture book, fiction"
The Women's Room,Marilyn French,English,1977,20 million[109],Feminist novel
What to Expect When You're Expecting,Arlene Eisenberg and Heidi Murkoff,English,1984,20 million[110],Pregnancy guide
Adventures of Huckleberry Finn,Mark Twain,English,1885,20 million[111],"Picaresque novel, Bildungsroman, satire, Robinsonade"
"The Secret Diary of Adrian Mole, Aged 13¾",Sue Townsend,English,1982,20 million[112],Young adult novel
Pride and Prejudice,Jane Austen,English,1813,20 million[113][114],"Classic regency novel, romance"
Kon-Tiki: Across the Pacific in a Raft (Kon-Tiki ekspedisjonen),Thor Heyerdahl,Norwegian,1950,20 million[115],Travel literature
The Good Soldier Švejk (Osudy dobrého vojáka Švejka za světové války),Jaroslav Hašek,Czech,1923,20 million (printed)[116],Unfinished satirical dark comedy novel
Where the Wild Things Are,Maurice Sendak,English,1963,20 million[117],Children's picture book
The Power of Positive Thinking,Norman Vincent Peale,English,1952,20 million[118],Self-help
The Secret,Rhonda Byrne,English,2006,20 million[119],Self-help
Fear of Flying,Erica Jong,English,1973,20 million[120],Romantic novel
